serie,roll,tid,kategori,innehall,varde
byggkostnad,namnare,2015-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1570.3
byggkostnad,namnare,2015-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1572.5
byggkostnad,namnare,2016-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1574.4
byggkostnad,namnare,2016-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1574.8
byggkostnad,namnare,2016-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1574.2
byggkostnad,namnare,2016-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1581.8
byggkostnad,namnare,2016-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1589.4
byggkostnad,namnare,2016-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1606.5
byggkostnad,namnare,2016-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1611.5
byggkostnad,namnare,2016-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1613.8
byggkostnad,namnare,2016-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1617.6
byggkostnad,namnare,2016-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1620.5
byggkostnad,namnare,2016-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1631.5
byggkostnad,namnare,2016-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1634.9
byggkostnad,namnare,2017-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1643.2
byggkostnad,namnare,2017-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1648.0
byggkostnad,namnare,2017-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1646.9
byggkostnad,namnare,2017-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1653.8
byggkostnad,namnare,2017-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1655.5
byggkostnad,namnare,2017-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1658.3
byggkostnad,namnare,2017-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1659.4
byggkostnad,namnare,2017-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1659.6
byggkostnad,namnare,2017-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1664.3
byggkostnad,namnare,2017-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1672.7
byggkostnad,namnare,2017-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1680.0
byggkostnad,namnare,2017-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1686.1
byggkostnad,namnare,2018-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1705.1
byggkostnad,namnare,2018-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1708.0
byggkostnad,namnare,2018-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1710.1
byggkostnad,namnare,2018-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1725.4
byggkostnad,namnare,2018-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1733.2
byggkostnad,namnare,2018-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1740.5
byggkostnad,namnare,2018-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1747.3
byggkostnad,namnare,2018-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1759.5
byggkostnad,namnare,2018-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1764.8
byggkostnad,namnare,2018-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1769.0
byggkostnad,namnare,2018-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1774.0
byggkostnad,namnare,2018-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1767.6
byggkostnad,namnare,2019-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1777.6
byggkostnad,namnare,2019-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1780.4
byggkostnad,namnare,2019-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1788.1
byggkostnad,namnare,2019-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1820.8
byggkostnad,namnare,2019-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1826.0
byggkostnad,namnare,2019-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1829.0
byggkostnad,namnare,2019-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1824.7
byggkostnad,namnare,2019-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1828.9
byggkostnad,namnare,2019-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1825.1
byggkostnad,namnare,2019-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1821.0
byggkostnad,namnare,2019-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1819.3
byggkostnad,namnare,2019-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1815.0
byggkostnad,namnare,2020-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1821.9
byggkostnad,namnare,2020-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1822.4
byggkostnad,namnare,2020-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1825.7
byggkostnad,namnare,2020-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1829.2
byggkostnad,namnare,2020-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1829.4
byggkostnad,namnare,2020-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1824.5
byggkostnad,namnare,2020-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1824.5
byggkostnad,namnare,2020-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1819.5
byggkostnad,namnare,2020-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1815.2
byggkostnad,namnare,2020-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1819.5
byggkostnad,namnare,2020-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1820.8
byggkostnad,namnare,2020-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1827.8
byggkostnad,namnare,2021-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1870.0
byggkostnad,namnare,2021-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1895.7
byggkostnad,namnare,2021-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1905.8
byggkostnad,namnare,2021-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1959.2
byggkostnad,namnare,2021-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,1970.7
byggkostnad,namnare,2021-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2015.2
byggkostnad,namnare,2021-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2095.0
byggkostnad,namnare,2021-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2135.8
byggkostnad,namnare,2021-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2156.9
byggkostnad,namnare,2021-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2181.7
byggkostnad,namnare,2021-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2198.5
byggkostnad,namnare,2021-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2200.4
byggkostnad,namnare,2022-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2232.1
byggkostnad,namnare,2022-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2254.4
byggkostnad,namnare,2022-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2356.4
byggkostnad,namnare,2022-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2516.6
byggkostnad,namnare,2022-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2538.4
byggkostnad,namnare,2022-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2565.4
byggkostnad,namnare,2022-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2569.3
byggkostnad,namnare,2022-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2546.6
byggkostnad,namnare,2022-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2545.9
byggkostnad,namnare,2022-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2539.2
byggkostnad,namnare,2022-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2515.0
byggkostnad,namnare,2022-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2483.9
byggkostnad,namnare,2023-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2501.4
byggkostnad,namnare,2023-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2508.0
byggkostnad,namnare,2023-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2510.2
byggkostnad,namnare,2023-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2534.1
byggkostnad,namnare,2023-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2555.8
byggkostnad,namnare,2023-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2527.1
byggkostnad,namnare,2023-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2523.4
byggkostnad,namnare,2023-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2531.7
byggkostnad,namnare,2023-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2535.2
byggkostnad,namnare,2023-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2541.3
byggkostnad,namnare,2023-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2550.7
byggkostnad,namnare,2023-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2529.5
byggkostnad,namnare,2024-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2536.6
byggkostnad,namnare,2024-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2550.8
byggkostnad,namnare,2024-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2561.1
byggkostnad,namnare,2024-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2574.0
byggkostnad,namnare,2024-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2585.2
byggkostnad,namnare,2024-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2614.8
byggkostnad,namnare,2024-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2608.3
byggkostnad,namnare,2024-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2622.2
byggkostnad,namnare,2024-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2616.6
byggkostnad,namnare,2024-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2616.8
byggkostnad,namnare,2024-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2619.6
byggkostnad,namnare,2024-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2624.5
byggkostnad,namnare,2025-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2649.4
byggkostnad,namnare,2025-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2667.9
byggkostnad,namnare,2025-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2678.5
byggkostnad,namnare,2025-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2683.2
byggkostnad,namnare,2025-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2686.8
byggkostnad,namnare,2025-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2693.3
byggkostnad,namnare,2025-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2691.4
byggkostnad,namnare,2025-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2692.7
byggkostnad,namnare,2025-09,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2686.8
byggkostnad,namnare,2025-10,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2689.8
byggkostnad,namnare,2025-11,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2696.9
byggkostnad,namnare,2025-12,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2689.5
byggkostnad,namnare,2026-01,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2690.8
byggkostnad,namnare,2026-02,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2687.1
byggkostnad,namnare,2026-03,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2702.4
byggkostnad,namnare,2026-04,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2730.1
byggkostnad,namnare,2026-05,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2764.6
byggkostnad,namnare,2026-06,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2790.5
byggkostnad,namnare,2026-07,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2806.5
byggkostnad,namnare,2026-08,byggmästeri-varor totalt,Byggkostnadsindex (BKI) för flerbostadshus,2806.7
krita_ranta,pris,2019-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2019-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2019-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2019-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2019-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2019-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2020-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2021-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2022-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2023-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2024-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-08,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-09,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-10,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-11,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2025-12,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-01,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-02,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-03,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-04,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-05,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-06,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2026-07,"1. Totalt, samtliga branscher","Ränta, medel, utestående lån i SEK per låntagare, procent",
krita_ranta,pris,2019-07,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.51
krita_ranta,pris,2019-08,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.51
krita_ranta,pris,2019-09,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.5
krita_ranta,pris,2019-10,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.49
krita_ranta,pris,2019-11,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.51
krita_ranta,pris,2019-12,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.55
krita_ranta,pris,2020-01,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.63
krita_ranta,pris,2020-02,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.63
krita_ranta,pris,2020-03,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.71
krita_ranta,pris,2020-04,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.74
krita_ranta,pris,2020-05,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.73
krita_ranta,pris,2020-06,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.68
krita_ranta,pris,2020-07,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.63
krita_ranta,pris,2020-08,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.6
krita_ranta,pris,2020-09,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.57
krita_ranta,pris,2020-10,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.55
krita_ranta,pris,2020-11,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.55
krita_ranta,pris,2020-12,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.55
krita_ranta,pris,2021-01,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.55
krita_ranta,pris,2021-02,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.55
krita_ranta,pris,2021-03,"1.1 Fastighet - Kontor, lokaler m.m.","Ränta, medel, utestående lån i SEK per låntagare, procent",1.56
